tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
34731,ECU,CAN,2011,,12,,2013,N/A,DA20,AC,Light aircraft,L,12,,2012-2013,Ecuador,Canada,N,0.16,1.92,1.92
50753,ECU,CAN,2008,,18,X,2011,N/A,PT6,EN,Turboprop,L,18,X,2010-2011,Ecuador,Canada,N,0.6,10.8,10.8
57426,ECU,CAN,2012,X,6,X,2014,N/A,PW100,EN,Turboprop/turboshaft,L,6,,2014,Ecuador,Canada,N,1,6,6
57010,EGY,CAN,2011,X,10,X,2012,N/A,Gurkha,AV,APV,L,10,X,2012,Egypt,Canada,N,0.16,1.6,1.6
52573,EGY,CAN,2010,,6,X,2011,N/A,PW100,EN,Turboprop/turboshaft,L,6,X,2011,Egypt,Canada,N,1,6,6
55524,EGY,CAN,2012,,6,X,2013,N/A,PW100,EN,Turboprop/turboshaft,L,6,X,2013,Egypt,Canada,N,1,6,6
57622,EGY,CAN,2014,,16,,2015,N/A,PW100,EN,Turboprop/turboshaft,L,16,X,2015,Egypt,Canada,N,1,16,16
58958,EGY,CAN,2015,,8,X,0,N/A,PW100,EN,Turboprop/turboshaft,L,,,,Egypt,Canada,N,1,8,0
59585,EQU,CAN,2015,X,4,X,0,N/A,PW100,EN,Turboprop/turboshaft,L,,,,Equatorial Guinea,Canada,N,1,4,0
50465,FIN,CAN,2006,,4,,2007,N/A,PW100,EN,Turboprop/turboshaft,L,4,,2007,Finland,Canada,N,1,4,4
52326,FIN,CAN,2010,,2,,2011,N/A,PW100,EN,Turboprop/turboshaft,L,2,,2011,Finland,Canada,N,1,2,2
58440,FRG,CAN,2014,,7,,2015,CIV,A-4M Skyhawk-2,AC,FGA aircraft,L,7,,2015,Germany (FRG),Canada,S,4,28,28
59493,FRG,CAN,2015,X,3,X,0,N/A,PT6,EN,Turboprop,L,,,,Germany (FRG),Canada,N,0.6,1.8,0
58346,GHA,CAN,2015,,9,X,0,N/A,PT6,EN,Turboprop,L,,,,Ghana,Canada,N,0.6,5.4,0
58347,GHA,CAN,2014,,2,,0,N/A,PW100,EN,Turboprop/turboshaft,L,,,,Ghana,Canada,N,1,2,0
57154,GHA,CAN,2011,X,50,X,2014,N/A,Typhoon,AV,APC,,50,X,2014,Ghana,Canada,N,0.25,12.5,12.5
58060,HON,CAN,2014,X,2,,0,N/A,PT6,EN,Turboprop,L,,,,Honduras,Canada,N,0.6,1.2,0
54782,IND,CAN,2011,X,2,,2015,N/A,Global Express,AC,AGS aircraft,L,2,,2015,India,Canada,N,40,80,80
53521,IND,CAN,2012,,75,X,2015,N/A,PT6,EN,Turboprop,L,75,X,2013-2015,India,Canada,N,0.6,45,45
58534,IND,CAN,2015,X,38,X,0,N/A,PT6,EN,Turboprop,L,,,,India,Canada,N,0.6,22.8,0
58675,IND,CAN,2015,X,112,X,0,N/A,PW100,EN,Turboprop/turboshaft,L,,,,India,Canada,N,1,112,0
37614,INS,CAN,2005,,5,X,2008,N/A,PT6,EN,Turboprop,L,5,X,2007-2008,Indonesia,Canada,N,0.6,3,3
53990,INS,CAN,2011,,8,X,2014,N/A,PT6,EN,Turboprop,L,8,X,2012-2014,Indonesia,Canada,N,0.6,4.8,4.8
55091,INS,CAN,2012,,8,X,0,N/A,PT6,EN,Turboprop,L,4,X,2015,Indonesia,Canada,N,0.6,4.8,2.4
55788,INS,CAN,2005,X,8,X,2012,N/A,PT6,EN,Turboprop,L,8,X,2011-2012,Indonesia,Canada,N,0.6,4.8,4.8
54204,INS,CAN,2012,,18,X,2015,N/A,PW100,EN,Turboprop/turboshaft,L,18,X,2012-2015,Indonesia,Canada,N,1,18,18
35349,IRQ,CAN,2004,,8,,2007,N/A,CH-2000,AC,Light aircraft,L,8,X,2005-2007,Iraq,Canada,N,0.11,0.88,0.88
36262,IRQ,CAN,2005,X,8,,2008,N/A,CH-2000,AC,Light aircraft,L,8,X,2007-2008,Iraq,Canada,N,0.11,0.88,0.88
51478,IRQ,CAN,2009,,15,,2010,N/A,PT6,EN,Turboprop,L,15,,2009-2010,Iraq,Canada,N,0.6,9,9
38422,ISR,CAN,2006,X,10,X,2011,N/A,PT6,EN,Turboprop,L,10,X,2007-2011,Israel,Canada,N,0.6,6,6
50834,ISR,CAN,2008,,20,X,2010,N/A,PT6,EN,Turboprop,L,20,X,2009-2010,Israel,Canada,N,0.6,12,12
55661,ISR,CAN,2011,X,1,,2012,N/A,PT6,EN,Turboprop,L,1,,2012,Israel,Canada,N,0.6,0.6,0.6
51130,ITA,CAN,2009,,8,X,0,N/A,PW100,EN,Turboprop/turboshaft,L,,,,Italy,Canada,N,1,8,0
39153,JAM,CAN,2006,,2,,2007,N/A,DA40,AC,Light aircraft,L,2,,2006-2007,Jamaica,Canada,N,0.15,0.3,0.3
58954,JOR,CAN,2015,,9,X,0,N/A,PT6,EN,Turboprop,L,,,,Jordan,Canada,N,0.6,5.4,0
59394,JOR,CAN,2015,,4,,0,N/A,PT6,EN,Turboprop,L,,,,Jordan,Canada,N,0.6,2.4,0
54631,KAZ,CAN,2012,,4,X,2013,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2013,Kazakhstan,Canada,N,1,4,4
56657,KAZ,CAN,2013,,4,X,2014,N/A,PW100,EN,Turboprop/turboshaft,L,4,,2014,Kazakhstan,Canada,N,1,4,4
37331,KOS,CAN,1995,X,105,X,2007,N/A,PT6,EN,Turboprop,L,105,X,2000-2007,South Korea,Canada,N,0.6,63,63
55151,LAO,CAN,2010,X,4,X,2012,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2012,Laos,Canada,N,1,4,4
56291,LAO,CAN,2012,X,4,X,2013,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2013,Laos,Canada,N,1,4,4
58599,LEB,CAN,2015,X,6,,0,N/A,PT6,EN,Turboprop,L,,,,Lebanon,Canada,N,0.6,3.6,0
57994,LYA,CAN,2012,X,750,X,2013,N/A,Spartan,AV,APC/APV,,750,X,2012-2013,Libya,Canada,N,0.16,120,120
57992,LYA,CAN,2012,X,50,X,2012,N/A,Typhoon,AV,APC,,50,X,2012,Libya,Canada,N,0.25,12.5,12.5
58228,LYA,CAN,2013,,38,X,2014,N/A,Typhoon,AV,APC,,38,X,2014,Libya,Canada,N,0.25,9.5,9.5
